Art. No,Site name,Square,Spit no,PHASE,Morphtype,Breakage,Bipoint completeness,Raw Mat.,Burning Overall,Focal Burn,Manufact method,Tip Shape primary end,Tip damage PE,Tip Use Wear PE,Tip Shape secondary end,Tip dam. SE,Tip UW SE,Shaft UW,Shaft cross-section,Length ,Max. Width,Max. Depth,Tip Length,W/D ratio,W x D,Notes
135,Mo'ohono,A,3,A,E,U,,S,U,N,U,L,U,CT,G,U,CT,U,G,28.3,4.3,2.2,8.2,,9.46,Secondary end length 10.2. Probably made on squirrel radius. Used bone fragment rather than bone point
9,Mo'ohono,A,9,A,E,B,,C,U,N,U,T,U,Ch,,,,N,T,20.1,4.5,2.8,10,,12.6,
126,Mo'ohono,A,5,A,F,B,,C,B,N,C,,,,,,,,,14.5,,,,,,
2,Mo'ohono,A,4,A,G,B,,C,B,N,GL,,,,,,,,,,,,,,,Conjoins with artefact no. 1. Small tab or bone with one finely ground facet
1,Mo'ohono,A,5,A,G,,,C,B,N,GL,,,,,,,,,38.3,16.9,10.3,,,174.07,Conjoins with artefact no. 2. Measurement for artefact 1 and 2
3,Mo'ohono,A,5,A,G,B,,C,B,N,GL,,,,,,,,,14.5,,,,,,"Probably part of artefact 1, 2 and 6"
6,Mo'ohono,A,5,A,G,B,,C,B,N,GL,,,,,,,,,25.4,17.3,6.7,,,115.91,Narrow longitudinal facet. Transverse facet at angle descending to tip? Probably part of same artefact as artefact no's 1 and 2 and 3
124,Mo'ohono,A,5,A,U,B,,C,U,N,SL/GT,O,S,HP,,,,HP,,15.6,3.3,2.5,4.7,1.32,8.25,Point length min meas. due to snap fracture
8,Mo'ohono,A,7,A,U,B,,C,B,N,SL/GO,D,C,LP,,,,LP,S,13.8,2.4,2.1,8.2,1.14,5.04,
105,Mo'ohono,A,5,A,S,B,,C,B,N,SL,,,,,,,N,O,30.7,6.3,4.2,,,26.46,Possible broken bipoint - both ends smashed
7,Mo'ohono,A,6,A,S,B,,D,U,N,GT/GI,,,,,,,N,O,12.5,6.7,6.3,,,42.21,Multiple ground facets (11) with very fine striations around the shaft. Possible preform fragment
10,Mo'ohono,A,10,A,S,B,,C,U,N,SL/GT,,,,,,,LP,S,20.3,5.2,3.7,,,19.24,
4,Mo'ohono,A,5,A,T,B,,D,B,N,GT,C,T,LP,,,,,,15.4,4.8,,15.4,,,Width min and depth not possible as tip is split longitudinally
107,Mo'ohono,A,7,A,T,B,,C,B,N,CL,C,U,HP/FO,,,,HP,,17.3,4.9,4.8,6.7,,23.52,
120,Mo'ohono,A,9,A,T,B,,C,U,N,SL/GO,O,U,LP,,,,,,10.5,4.4,2.5,10.5,,11,
37,Talimbue,B,3,A,T,B,,C,C,N,GT/GO,A,U,LP,,,,,,12.2,3.4,2.7,12.2,,9.18,
106,Mo'ohono,A,5,A,U,B,,S,B,N,GO,H,C,HP,,,,HP,,15.9,3.4,3,5.1,,10.2,Hollow asymetrically ground tip
11,Mo'ohono,A,10,A,U,B,,C,B,N,SL/GT/GO,D,U,LP,,,,LP,O,20.9,4.5,3.3,12.4,,14.85,Tip appears to have been resharpened as has grinding over asymmetrical facet on end of tip - different to usual tip shape
40,Talimbue,B,13,B,B,B,1,C,U,N,SL/C/GT/GO,S,C,N,C,T,N,CT,O,58.7,4.8,3.4,12.2,1.41,16.32,Mid section of shaft has coarse transverse striations which may be due to hafting. 
64,Talimbue,B,14,B,B,B,C,D,U,N,SL/GT/GO/C,C,T,LP,H,T,LP,CO,C,48.7,6.9,5.9,15.5,1.17,40.71,Transverse striations and cuts on both ends result from final finishing off of tip during manufacturing process rather than from use
14,Mo'ohono,A,11,B,E,B,,D,U,N,N,L,T/C,FO,,,,"FO, LP",L,48.2,16.2,7.8,,,126.36,"Made on tusk, end has spalling and step terminations, Grooves on undersurface "
147,Talimbue,B,12,B,E,A,,E,U,N,N,C,T,CT,,,,CT,D,25.9,3.2,2.8,,,8.96,Coarse striations along entire length of shaft. Made on whole tooth. No wear on tip end
125,Mo'ohono,A,12,B,F,B,,C,U,N,GO,,,,,,,,,,,,,,,
134,Mo'ohono,A,12,B,U,B,,C,C,N,GO,C,U,LP,,,,,,10.9,2.8,2,,1.40,5.6,
133,Mo'ohono,A,13,B,U,B,,C,U,N,GO,S,T,LP,,,,LP,G,19.5,3.2,2.3,5.7,1.39,7.36,Minimum measurement on tip due to step damage
154,Samb.,A,8,B,U,B,,C,B,N,SL,C,S,N,,,,N,C,19.2,3.3,3.1,7.6,1.06,10.23,
95,Talimbue,B,12,B,U,B,,C,U,N,GT,A,C,N,,,,,,13.2,2.6,,13.2,,,No depth measurement possible as side fractured
